bodytype,Car_seats,modelYear,kilometer,fueltype,ownerNo,transmission,price,Insurance,engine_cc,oem,gear_box,Mileage,drivetype,city
Hatchback,5.0,2015,120000,Petrol,3,Manual,400000,Third Party insurance,998.0,Maruti,5,23.1,FWD,bangalore
SUV,5.0,2018,32706,Petrol,2,Manual,811000,Comprehensive,1497.0,Ford,5,17.0,FWD,bangalore
Hatchback,5.0,2018,11949,Petrol,1,Manual,585000,Comprehensive,1199.0,Tata,5,23.84,FWD,bangalore
Sedan,5.0,2014,17794,Petrol,1,Manual,462000,Comprehensive,1197.0,Hyundai,5,19.1,FWD,bangalore
SUV,5.0,2015,60000,Diesel,1,Manual,790000,Third Party insurance,1248.0,Maruti,5,23.65,FWD,bangalore
SUV,5.0,2020,20000,Diesel,1,Manual,1900000,Third Party insurance,1956.0,Jeep,6,17.1,4WD,bangalore
Hatchback,5.0,2017,37772,Petrol,1,Manual,345000,Comprehensive,1198.0,Datsun,5,20.63,FWD,bangalore
SUV,5.0,2021,30000,Petrol,1,Automatic,1200000,Third Party insurance,998.0,Hyundai,7,18.15,FWD,bangalore
Sedan,5.0,2018,37000,Petrol,1,Automatic,960000,Comprehensive,1462.0,Maruti,4,20.28,FWD,bangalore
Hatchback,5.0,2017,11949,Petrol,1,Manual,585000,Comprehensive,1199.0,Tata,5,23.84,FWD,bangalore
Hatchback,5.0,2018,50000,Petrol,1,Manual,690000,Third Party insurance,1197.0,Maruti,5,21.4,FWD,bangalore
Hatchback,5.0,2019,24887,Petrol,1,Automatic,682000,Third Party insurance,1197.0,Hyundai,4,18.9,FWD,bangalore
Hatchback,5.0,2018,23000,Petrol,1,Automatic,825000,Comprehensive,1199.0,Honda,5,18.2,FWD,bangalore
Hatchback,5.0,2018,48928,Petrol,1,Automatic,595000,Comprehensive,1199.0,Tata,5,23.84,FWD,bangalore
SUV,7.0,2014,108862,Diesel,3,Manual,690000,Comprehensive,2179.0,Mahindra,6,15.1,FWD,bangalore
SUV,5.0,2018,80000,Diesel,1,Manual,1350000,Third Party insurance,1956.0,Jeep,6,17.1,4WD,bangalore
SUV,5.0,2022,16000,Diesel,1,Automatic,5595000,Comprehensive,1950.0,Mercedes-Benz,8,18.9,AWD,bangalore
Hatchback,5.0,2014,65376,Diesel,2,Manual,521000,Comprehensive,1396.0,Hyundai,6,21.27,FWD,bangalore
SUV,5.0,2022,10000,Petrol,1,Manual,1005000,Third Party insurance,1199.0,Tata,6,17.33,FWD,bangalore
Sedan,5.0,2016,67000,Petrol,2,Manual,775000,Comprehensive,1497.0,Honda,5,17.8,FWD,bangalore
Sedan,5.0,2011,100000,Diesel,3,Automatic,2200000,Third Party insurance,1995.0,BMW,6,18.48,FWD,bangalore
Hatchback,5.0,2016,18083,Petrol,1,Manual,582000,Comprehensive,1197.0,Maruti,5,22.38,FWD,bangalore
SUV,5.0,2020,30000,Petrol,1,Manual,1090000,Third Party insurance,1498.0,Renault,5,16.42,FWD,bangalore
